Samples,Phase,VOM6,VOM24,VOM30,VOM31,VOM35,VOM53,VOM56,VOM 57,VOM 58,VOM 59,VOM 61,VOM 65,VOM 69
T09-I-00,PIA,1,1,1,1,0,0,0,1,0,0,1,0,1
T11-I-00,PIA,1,1,0,0,0,0,1,0,1,0,0,0,1
T12-I-00,PIA,1,1,0,0,0,0,0,1,1,0,1,0,1
T13-I-00,PIA,1,0,0,0,0,0,1,0,1,0,0,0,1
T14-I-00,PIA,1,1,0,0,0,0,0,1,1,0,1,0,1
T15-I-00,PIA,1,1,1,1,0,0,0,0,1,0,0,0,1
T09-I-05,PIA,1,0,1,0,0,0,1,0,1,0,0,0,0
T11-I-05,PIA,1,1,0,0,0,0,0,1,1,0,0,0,0
T12-I-05,PIA,1,1,0,0,0,0,0,0,1,0,0,0,0
T13-I-05,PIA,1,1,1,0,1,0,1,0,1,0,0,0,1
T14-I-05,PIA,1,1,0,0,1,0,0,1,1,0,0,0,0
T15-I-05,PIA,1,1,1,0,0,1,1,0,1,0,0,0,1
T09-I-10,PIA,0,1,0,0,0,0,0,1,1,0,1,1,1
T11-I-10,PIA,0,1,0,0,0,1,1,1,1,0,0,1,0
T12-I-10,PIA,0,1,1,0,0,0,0,0,1,0,1,1,1
T13-I-10,PIA,0,1,0,0,0,0,1,1,1,0,0,0,1
T14-I-10,PIA,1,1,1,0,1,0,0,1,1,0,0,0,1
T15-I-10,PIA,0,1,1,1,0,0,1,0,0,0,0,0,0
T09-I-15,PIA,1,1,0,0,0,0,1,1,1,0,1,1,1
T11-I-15,PIA,1,1,0,0,0,0,0,1,1,0,0,0,0
T12-I-15,PIA,1,1,1,1,0,1,1,1,1,0,0,0,0
T13-I-15,PIA,0,1,1,0,1,0,1,1,1,0,0,0,0
T14-I-15,PIA,1,1,1,0,1,1,1,1,0,0,0,0,0
T15-I-15,PIA,1,1,0,0,0,0,1,1,0,0,1,0,1
T09-I-20,PIA,1,1,0,0,0,1,1,0,0,0,1,1,0
T11-I-20,PIA,1,1,1,1,0,0,0,1,1,0,0,1,0
T12-I-20,PIA,1,1,1,0,0,0,0,1,0,0,0,0,0
T13-I-20,PIA,1,1,0,0,0,0,0,0,0,0,1,0,1
T14-I-20,PIA,1,1,0,0,1,0,0,0,1,0,0,1,1
T15-I-20,PIA,1,1,0,0,0,0,0,0,0,0,0,1,0
T09-I-25,PIA,1,1,0,0,0,0,0,0,0,0,1,1,1
T11-I-25,PIA,1,1,1,0,0,0,0,0,0,0,0,0,0
T12-I-25,PIA,1,1,0,0,0,0,0,0,1,0,0,1,1
T13-I-25,PIA,1,1,0,0,0,0,0,0,1,0,0,0,1
T14-I-25,PIA,1,1,1,1,1,1,1,0,1,0,0,0,1
T15-I-25,PIA,1,1,1,0,0,0,1,0,1,0,0,1,1
T09-I-30,PIC,0,1,0,0,0,0,0,0,0,0,0,0,1
T11-I-30,PIC,0,1,1,1,0,1,0,1,0,0,0,0,0
T12-I-30,PIC,0,0,0,0,0,0,0,0,1,0,0,0,1
T13-I-30,PIC,0,1,0,0,0,0,0,0,0,1,0,0,1
T14-I-30,PIC,0,0,0,1,0,0,0,1,1,0,0,0,1
T15-I-30,PIC,0,1,0,1,0,1,0,1,0,0,0,0,1
T09-I-35,PIC,1,1,0,1,0,1,1,0,0,0,0,0,1
T11-I-35,PIC,1,1,1,1,0,1,1,0,0,0,0,0,1
T12-I-35,PIC,1,1,0,1,0,1,0,1,0,1,0,0,1
T13-I-35,PIC,1,1,0,1,0,1,0,1,0,0,0,0,1
T14-I-35,PIC,1,1,0,1,0,1,0,1,1,1,0,0,0
T15-I-35,PIC,1,0,0,0,0,0,0,0,1,1,0,0,1
T09-I-40,PIC,0,1,0,1,0,0,1,0,0,1,0,0,1
T11-I-40,PIC,0,1,1,1,0,0,1,0,0,0,0,0,1
T12-I-40,PIC,0,0,0,1,0,0,0,0,0,1,0,0,1
T13-I-40,PIC,0,1,0,1,0,0,0,0,0,0,0,0,1
T14-I-40,PIC,0,1,0,1,0,0,0,0,1,0,0,0,1
T15-I-40,PIC,0,1,0,1,0,0,0,1,0,1,0,0,1
T09-I-45,PIC,1,1,0,1,0,0,0,0,0,1,0,1,1
T11-I-45,PIC,1,1,1,1,0,1,1,0,0,1,0,0,0
T12-I-45,PIC,1,1,0,0,0,1,1,0,0,1,0,0,0
T13-I-45,PIC,1,0,0,1,0,1,0,0,0,0,0,0,0
T14-I-45,PIC,1,1,0,1,1,0,0,1,0,1,0,0,1
T15-I-45,PIC,1,1,0,0,1,0,0,1,0,1,0,0,1
